RCP_SNO,SRAP_CNT,ING_INFO
3630370,789,고추 마늘 양파 고춧가루
3639912,862,당근 오이
3640345,684,감자 고추 대파 마늘 양파 고춧가루 무무
3646410,1276,감자 고추 당근 양파
3651320,1538,감자 당근 양파
3651909,719,마늘 양파 오이 고춧가루
3653178,1919,고추 마늘
3653374,710,고추 마늘 버섯
3656185,632,당근 배추 양파
3656738,956,마늘
3656757,890,오이
3659180,695,무무
3660025,776,당근 마늘 배추 양파
3660582,1731,감자 당근 양파
3661813,793,마늘 토마토
3661855,741,고추
3663677,623,계란 고추 배추 양파 오이
3663695,967,고추 마늘 고춧가루 무무
3665091,1083,고추 대파 마늘 양파 고춧가루
3673946,7272,고추 당근 양파 고춧가루
3674099,695,계란
3674431,618,삼겹살
3675253,929,
3679919,1851,고추 마늘 양파 오이
3682426,1922,양파
3683470,1326,마늘
3685992,1093,오이 무무
3686217,22344,대파 마늘 고춧가루
3687381,749,오이
3687411,13725,양파 오이
3690484,1565,고추 마늘 고춧가루
3691149,1019,계란
3702645,664,고추 양파 고춧가루
3720795,2208,
3729336,1959,고추 당근 양파 오이 고춧가루
3729623,1197,오이 토마토
3730716,657,마늘 고춧가루
3730762,2127,마늘
3732354,15249,고추 마늘
3734124,1894,고추 마늘 양파
3740194,779,
3744959,2326,고추 마늘 고춧가루
3745412,930,당근 양파 토마토
3746108,1655,고추 대파 양파
3746581,635,
3747863,678,
3748759,1149,
3752157,1246,감자 대파
3755218,716,고추 마늘
3759363,643,대파 마늘 양파
3760103,853,
3760361,1391,감자 당근 양파
3760714,1579,마늘 오이 고춧가루
3763331,1284,고추 당근 마늘
3763811,1894,고추 마늘 오이 고춧가루
3782459,994,
3783326,1790,배추 양파
3783760,632,당근 대파 마늘 양파
3784155,1386,당근 대파
3784965,1066,마늘
3788640,651,계란
3792813,1329,
3794431,754,마늘
3804531,728,
3806559,1304,감자 고추 마늘 양파
3807316,610,당근 오이 무무
3810361,976,감자 고추 양파 고춧가루
3810884,1160,고추 오이
3814784,1507,마늘 양파
3819357,922,계란 마늘 토마토
3820274,2477,마늘 양파
3822179,764,고추 대파 마늘 고춧가루 무무
3822886,752,고추 마늘 양파
3823013,1471,당근 버섯
3823598,633,양파 토마토
3825747,854,
3826594,1035,고추 대파 마늘 양파 고춧가루
3826614,724,고추 대파 마늘 양파 고춧가루 삼겹살
3832717,1987,대파 마늘 양파
3832728,700,마늘
3836356,625,오이
3839422,620,고추 대파 마늘
3839956,1320,당근 양파
3841986,610,감자 상추 토마토
3842121,1725,감자 계란 토마토
3845351,6263,양파
3849788,1779,고추 고춧가루
3853744,640,마늘
3862092,1425,고추 배추
3863068,1004,대파 마늘 배추 양파
3864438,1142,감자 배추 양파
3865863,1566,고추 마늘 고춧가루
3867179,1761,고추 양파 고춧가루
3867329,2683,마늘
3867585,660,대파 마늘 오이
3867647,790,고추 마늘 양파 토마토
3868741,783,마늘
3870735,1294,감자 고추 마늘 양파 무무
3874774,8031,감자 양파
3876314,698,당근 양파
3877899,4943,당근 마늘 양파 버섯
3878157,1393,양파
3879317,912,고추 마늘 양파 버섯
3882916,2251,마늘 무무
3892766,2274,감자 고추
3893242,1541,당근 마늘 양파 토마토
